win_rate_diff,win_rate_avg,win_rate_abs_diff,avg_score_diff,avg_score_avg,avg_score_abs_diff,games_played_diff,games_played_avg,games_played_abs_diff,winrate_ratio,avgscore_ratio,team1_higher_winrate,match_winner
,,,,,,,,,,,0,0
0.571,0.7145,0.571,0.571,0.7145,0.571,-6.0,4.0,6.0,2.330947996550197,2.330947996550197,1,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
-0.304,0.277,0.304,-0.304,0.277,0.304,-6.0,11.0,6.0,0.29136849956877464,0.29136849956877464,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
0.08300000000000002,0.2915,0.08300000000000002,0.08300000000000002,0.2915,0.08300000000000002,-5.0,5.5,5.0,1.3319467221311148,1.3319467221311148,1,0
0.25,0.875,0.25,0.25,0.875,0.25,-3.0,2.5,3.0,1.3333155557925895,1.3333155557925895,1,1
0.16699999999999998,0.4165,0.16699999999999998,0.16699999999999998,0.4165,0.16699999999999998,-4.0,4.0,4.0,1.5014564127203387,1.5014564127203387,1,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
0.0,0.0,0.0,0.0,0.0,0.0,-3.0,2.5,3.0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,3.0,0.0,0.0,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9999900000999989,0.9999900000999989,0,0
-0.143,0.0715,0.143,-0.143,0.0715,0.143,-6.0,4.0,6.0,0.0,0.0,0,1
-0.5449999999999999,0.7275,0.5449999999999999,-0.5449999999999999,0.7275,0.5449999999999999,10.0,6.0,10.0,0.4549954500454995,0.4549954500454995,0,1
-0.667,0.3335,0.667,-0.667,0.3335,0.667,1.0,3.5,1.0,0.0,0.0,0,0
1.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,0.0,99999.99999999999,99999.99999999999,1,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
